similar,"n. 类似物
adj. 相似的"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜
"
award,"n. 奖品；判决
vt. 授予；判定"
reward,"n. [劳经] 报酬；报答；酬谢
vt. [劳经] 奖励；奖赏"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
self,"n. 自己，自我；本质；私心
adj. 同一的
vt. 使自花授精；使近亲繁殖
vi. 自花授精
"
bachelor,"n. 学士；单身汉；（尚未交配的）小雄兽
"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚
"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白
"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污
"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难
"
relief,n. 救济；减轻，解除；安慰；浮雕
defend,"vi. 保卫；防守
vt. 辩护；防护"
defence,n. 防御；防卫；答辩；防卫设备
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视
"
duty,"n. 责任；[税收] 关税；职务
"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
fault,"n. 故障；[地质] 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
error,n. 误差；错误；过失
shortcoming,n. 缺点；短处
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸
"
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的
"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
distinction,n. 区别；差别；特性；荣誉、勋章
discuss,vt. 讨论；论述，辩论
discussion,n. 讨论，议论
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
industry,n. 产业；工业；勤勉
agriculture,n. 农业；农耕；农业生产；农艺，农学
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
business,n. 商业；[贸易] 生意；[贸易] 交易；事情
enterprise,n. 企业；事业；进取心；事业心
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往

"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴
"
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚
"
colleague,n. 同事，同僚
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌
"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的
"
undertake,vt. 承担，保证；从事；同意；试图
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
movement,n. 运动；活动；运转；乐章
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
victim,n. 受害人；牺牲品；牺牲者
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地
"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献
"
organise,"vi. 组织起来；组织工会
vt. 组织（等于organize）；有机化；给予生机"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
organisation,n. 组织；团体（等于organization）
organization,n. 组织；机构；体制；团体
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
academy,n. 学院；研究院；学会；专科院校
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧
"
committee,n. 委员会
faith,"n. 信仰；信念；信任；忠实
"
religion,n. 宗教；宗教信仰
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求
"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
suitable,adj. 适当的；相配的
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）
"
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理
"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
random,"n. 随意
adj. [数] 随机的；任意的；胡乱的
adv. 胡乱地"
probably,adv. 大概；或许；很可能
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
lately,adv. 近来，不久前
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影
"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
adequate,adj. 充足的；适当的；胜任的
distribute,vt. 分配；散布；分开；把…分类
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹
"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实
"
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
deliberately,adv. 故意地；谨慎地；慎重地
accident,n. 事故；意外；[法] 意外事件；机遇
incident,"n. 事件，事变；插曲
adj. [光] 入射的；附带的；易发生的，伴随而来的"
coincidence,n. 巧合；一致；同时发生
entire,"adj. 全部的，整个的；全体的
"
thorough,adj. 彻底的；十分的；周密的
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
extension,n. 延长；延期；扩大；伸展；电话分机
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地
"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
horrible,adj. 可怕的；极讨厌的
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆
"
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
terrify,vt. 恐吓；使恐怖；使害怕
terror,"n. 恐怖；恐怖行动；恐怖时期；可怕的人
"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
category,n. 种类，分类；[数] 范畴
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字
"
typical,adj. 典型的；特有的；象征性的
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的
"
criterion,n. （批评判断的）标准；准则；规范；准据
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的
"
ridiculous,adj. 可笑的；荒谬的
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
alcohol,n. 酒精，乙醇
mood,"n. 情绪，语气；心境；气氛
"
journalist,n. 新闻工作者；报人；记日志者
photographer,n. 摄影师；照相师
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
press,"n. 压；按；新闻；出版社；[印刷] 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压
"
pressure,"n. 压力；压迫，[物] 压强
vt. 迫使；密封；使……增压"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于
"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野
"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地
"
insist,"vi. 坚持，强调
vt. 坚持，强调"
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
assumption,n. 假定；设想；担任；采取
theory,n. 理论；原理；学说；推测
theoretical,adj. 理论的；理论上的；假设的；推理的
describe,vt. 描述，形容；描绘
description,n. 描述，描写；类型；说明书
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
urgent,adj. 紧急的；急迫的
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
immigration,n. 外来移民；移居
journey,"n. 旅行；行程
vi. 旅行
"
luggage,n. 行李；皮箱
destination,n. 目的地，终点
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
necessary,"adj. 必要的；必需的；必然的
n. 必需品
"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足
"
concept,n. 观念，概念
correspond,vi. 符合，一致；相应；通信
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战
"
war,"n. 战争，斗争；军事，战术；冲突，对抗，竞争
vi. 打仗，作战；对抗"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
offence,n. 犯罪；违反；过错；攻击
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声
"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
expose,vt. 揭露，揭发；使曝光；显示
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
dilemma,n. 困境；进退两难；两刀论法
breakthrough,n. 突破；突破性进展
evolution,n. 演变；进化论；进展
revolution,n. 革命；旋转；运行；循环
march,n. 三月
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游
"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测
"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向
"
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆
"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价
"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
mercy,"n. 仁慈，宽容；怜悯；幸运；善行
"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读
"
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
edition,"n. 版本
版次
集"
editor,n. 编者，编辑；社论撰写人；编辑装置
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
exhibition,n. 展览，显示；展览会；展览品
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持
"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱
"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于
"
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃
"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系
"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入
"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去
"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行
"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没
"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷
"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬
"
pure,"adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
"
polish,"n. 磨光，擦亮；上光剂，擦亮剂；优雅，精良
vi. 擦亮，变光滑
vt. 磨光，使发亮
adj. 波兰的"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象
"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
audience,n. 观众；听众；读者；接见；正式会见；拜会
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人
"
visual,adj. 视觉的，视力的；栩栩如生的
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒
"
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝
"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
anniversary,n. 周年纪念日
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
dynasty,n. 王朝，朝代
generation,n. 一代；产生；一代人；生殖
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼
"
choke,"n. 窒息；噎；[动力] 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
nutrition,n. 营养，营养学；营养品
appetite,n. 食欲；嗜好
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
tasteless,adj. 无味的；无鉴赏力的
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地
"
salty,adj. 咸的；含盐的
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦
"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
interpret,"vi. 解释；翻译
vt. 说明；口译"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
degree,n. 程度，等级；度；学位；阶层
maximum,"n. [数] 极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的
"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
furnish,vt. 提供；供应；装备
debt,n. 债务；借款；罪过
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱
"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
currency,n. 货币；通货
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活
"
fee,"n. 费用；酬金；小费
vt. 付费给……
"
wealth,n. 财富；大量；富有
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
bless,"vt. 祝福；保佑；赞美
"
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡
"
mourn,v. 哀悼；忧伤；服丧
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
bury,"vt. 埋葬；隐藏
"
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
tomb,"n. 坟墓；死亡
vt. 埋葬
"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
whistle,"n. 口哨；汽笛；呼啸声
vt. 吹口哨；鸣汽笛"
cast,"n. 投掷，抛；铸件，[古生] 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来
"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力
"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变
"
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
worn,"v. 穿；磨损（wear的过去分词）；佩戴
adj. 疲倦的；用旧的
"
tiresome,adj. 烦人的，无聊的；令人讨厌的
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
astonish,vt. 使惊讶
break away,"v. 逃脱；突然离开；突然离去；挣脱
"
break away from,"v. 脱离；离开；断绝与…的关系
"
break down,"v. 分解；抛锚；分析；划分
"
break in,"na. 闯入；插嘴；驯(马)；训练(人)
"
break into,"na. 闯进；拦(别人话头)；侵占(别人时间等)；突然…起来
"
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；【航】起(锚)
"
break through,"na. 【军】突破(点)；(科技等的)重大发现；关键问题的解决
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
bring about,"na. 造成；带来；【航】(使船)回转
"
bring back,"na. 送回；使恢复；使回忆起
"
bring out,"na. 公布；说出；出版；上演
"
bring up,"na. 抚养；教导；教育；在…长大
"
call for,"na. 呼吁；主张；需要；接(某人)
"
call in,"na. 招；叫进；引入；调入
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
"
call out,"na. 呼喊；大声叫唤；召集；号召罢工
"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
cut out,"na. 割掉；除去；剪下；开辟
"
cut through,"v. 洞穿
"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
come about,"na. 发生；(风等)变向；【航海】抢风调向
"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
"
come along,"na. 进步；同意；一道来；请过来
"
come down,"na. 败落；退步；(飞机的)下降
"
come down to,"v. 降至；归结起来；变为；归结为
"
come from,"v. 来自；出身；归因于
"
come into,"na. 归入；开始；得到；缔结
"
come into being,"na. 发生
"
come off,"na. 同“come across”；(人)走了；(扣子,齿,发)脱落
"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
"
come out,"na. 出来
"
come out with,"na. 发表；讲出；泄露(秘密)；展出
"
come over,"na. 渡过来；(从敌方)过来；变挂；〔口语〕欺骗
"
come through,"na. 胜利；脱险；支付；捐献
"
come up,"na. 走近；上升；抬头；(暴风雨等)起
"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
"
get along,"na. 过日子；生活；团结；进步
"
get along with sb.,"na. (工作)进行
"
get around,"na. 回避(事实)；往来；避开(法律等)；智胜(某人)
"
get away,"na. 逃脱；出发；把…送出
"
get away from,"v. 逃脱
"
get back,"na. 取回；回来；送回；〈俚〉报复
"
get down,"na. 开始认真对待；落下；下车；写下
"
get down to sth.,"v. 认真对待
"
get down to doing sth.,无
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get into,"na. 进入；穿上；成癖；陷于
"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get on with,"na. 同“get along ”
"
get out,"na. 摆脱；走出；〔命令语气〕出去!
"
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
"
get over,"na. 同“get across”
"
get through,"na. 花光；了结；(使)通过(议案)；及格
"
get together,"na. 聚集；集合；汇齐；积累
"
get up,"na. 起床；起身；站起来；叫…起床
"
give away,"na. 赠送；分发；放弃；露马脚
"
give in,"na. 让步；屈服；投降；上交
"
give off,"na. 发散(水蒸气等)
"
give out,"na. 发表；放出；分发
"
give up,"na. 放弃；断绝；投降；自首
"
go after,"na. 追求
"
go against,"na. 违背；不利于
"
go ahead,"na. 取得进展
"
go along,"na. 前进
"
go around,"na. 扑过去；兴冲冲开始干
"
go away,"na. 离开；带走
"
go back,"na. “Come back”的变体；回来；追溯到；回顾
"
go by,"na. 走过；以…为根据(作判断)；〈美〉顺道访问；受…所控制
"
go down,"na. 下去；(飞机)坠落；继续到  (风,浪等)平静下来；消退
"
go for,"na. 去喊；〈美〉拥护；被认为；袭击
"
go in for,"na. 赞成；寻求；参加
"
go into,"na. 进入；(门等)通着；加入；参与
"
go off,"na. 进行得 (well； badly)；(话等)冒出
"
go on,"na. 往前走；继续…下去 (with； doing)；日子过得
"
go out,"na. 出去；灭；辞职；下台
"
go over,"na. 仔细查看；仔细搜查；排练；重温
"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
"
go up,"na. 上升；上城市去；腾贵；烧起来
"
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
hold off,"na. 拖延；抵抗(进攻等)；使不接近
"
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
"
hold on to,"na. 赖着不走
"
hold out,"na. 伸出；提出；维持；制止
"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
"
keep away from,"v. 远离
"
keep off,"na. 不让接近；不接近
"
