a bit,"na. 有点儿〔作副词用〕
"
not in the least,"na. 一点也不
"
not likely, 不可能；不太可能；不见得
not more than,"na. 不超过
"
not only ... but ...,无
not only ... but also ..., 不仅……而且；不但而且；两个不仅……而且
not really, 也不是；不完全是；不怎么好
not ... till,无
not ... until, 直到……才；引导的句子要倒装；引起倒装
not to mention,"na. …不用说
"
note down,"un. 记录
"
nothing but,"na. 不外；〔美国〕〔加强语气〕的确
"
now and then, 偶尔；时而；不时
every now and then,"na. 间或
"
now that,"na. 由于
"
numbers of,"adj. 许多
"
large numbers of, 大量的；许多；许多的
great numbers of,无
object to,"na. 反对
"
occur to, 想到；被想起；被想到
of all time, 有史以来；一直；空前的
of course,"na. 当然
"
of one's own,"na. 自己的
"
of the moment,"na. 此刻
"
off duty,"na. 下班；在工作时间外
"
on account of,"na. 因为
"
on all fours,"na. 匍匐；完全一致的
"
on and on,"na. 不停地
"
on average, 平均；平均起来；通常
on behalf of,"na. 替；为…的利益
"
on board,"na. 在船上；〔美国〕在车上；〈口〉【棒】出垒
"
on business,"na. 因公
"
on condition that,"na. 在…的条件下
"
on contact,"联系
接触"
in contact,"un. 同…发生接触；相接触
"
on contact with,prep.一经与...接触
in contact with,"prep. 和…联系
"
on duty,"na. 在工作时间内；上班；值班
"
on earth,"na. 到底；在地球上；全然
"
on end,"na. 继续；竖着
"
on fire,"na. 燃烧着；兴奋着
"
on foot,"na. 步行；在进行中；徒步
"
on good terms with,"un. 相处得好；和…有交情
"
on guard,"na. 看守；值班
"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
"
on holiday,"na. 在休假中
"
on occasion,"na. 有时；遇必要时
"
on offer,"na. 出卖
"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
on one's part,"na. 就某人方面；就…而言；由…表现出来的；由…所作出的
"
on one's way,"un. 无法；在路上；快要出头了
"
on the way,"na. 在路上；在旅行中；“on/along the way”的变体
"
on one's way to,无
on the way to,"un. 在途中
"
on principle,"na. 按照原则
"
on purpose,"na. 故意；意欲
"
on sale,"na. 出售的；上市的；出售(的)；廉价出售(的)
"
on second thought,"adv. 经过重新考虑
"
on second thoughts,"na. 经重新考虑后；再次考虑后
"
on show,"na. 成为展览物；被陈列着
"
on sight,"na. 在看不见的地方；〈口〉(瘦得)不成样子；〈口〉好到极点；无可争辩地
"
on the alert,"na. 警惕
"
on the basis of,"na. 以…为基础
"
on the brink of,"na. 即将要
"
on the contrary,"na. 反之
"
on the decline,"na. 没落；在低落中；在衰退中
"
on the increase, 在增加；正在增加；正在增长
on the one hand ...,"na. 一方面
"
on the other, 在时间的另一边；另一只手死亡；另一方面就是对中国的
on the other hand,"na. 从另一方面来说；在另一方面
"
on the phone,"un. 正在打电话
"
on the point of,"prep. 正要N；将要N
"
on the radio, 通过收音机；通过广播；通过无线电广播
over the radio,"从收音机中,用无线电,通过广播"
on the rise,"na. 在涨；在增加；好转
"
on the run,"na. 跑着
"
on the spot,"na. 当场；立刻；【商业】用现货[现款]；(人)准备妥当
"
on the stage, 在舞台上；当演员；在台上
on the tip of one's tongue, 就在某人的嘴边，某人差一点就能想起的; 话在嘴边
on the wall, 在墙上；例如在墙的平面上挂幅画；墙表面的事物
on the way out,"adv. 逐渐消失
"
on the whole,"na. 整体上说
"
on time,"na. 按时；及时
"
on top of,"na. 在…之上；逼近；胜任(工作等)；掌握(情况等)
"
once again,"na. 一再；再一次；“once again/more”的变体
"
once in a blue moon,"na. 〈非正式〉难得；罕见；千载难逢
"
once in a while,偶尔；有时（等于every once in a while）
once more,"na. 再一次；“once again/more”的变体
"
once upon a time,"na. 从前；很久很久以前；古时候
"
one after another,"na. 一个又一个地；陆续；相继
"
one by one,"na. 一个一个；一个一个地
"
one day,"na. 有一天；(过去或将来的)某一天
"
only if,"conj. 只有当
"
only to, 仅仅为了；却；结果却
only too,"na. 极；实在；可惜；“all/only too”的变体
"
open the floor,无
open up,"na. (打)开；割开；开发(资源)；揭示
"
operate on,"v. 对…施行手术；用…开动
"
or else,"na. 不然
"
or rather,"na. (或者)说得更正确点
"
or so,"un. 与其说…不如说…；大约
"
other than,"na. 与…不同；除了
"
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
"
out of breath,"na. 大喘气
"
out of control,"na. 失去控制
"
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
"
out of order,"na. 杂乱无章；不合规则；情况反常；有故障
"
out of place,"na. 不得其所的；不适当的；不相称的；碍事的
"
out of question,"na. 不在考虑之列；根本不可能
"
out of respect,无
out of sight,"adv. 无影无踪
"
out of the question,"adv. 不可能
"
out of work,"na. 失业；(机器等)有毛病
"
over and over,"na. 转来转去；〔主美〕反反复复
"
over and over again,"na. 翻来覆去
"
over the years,"na. 长年累月
"
owe ... to,"v. 由于；把…归功于
"
owing to,"conj. 由于；因为
prep. 因为；由于
"
pack up,"na. 把…打成包；打包；捆好东西；解雇
"
participate in,"v. 参加；分享
"
pass away,"na. 消失；Vi. 经过；去；终止
"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
pass down,"un. 过；一闪即逝；下达
"
pass off as,"na. 把某物冒充为
"
pass on,"na. “pass away”的变体；递；传达；通过
"
pass out,"v. 昏倒；分发；主要用于英式英语
"
pass through,"na. 穿过；经历；经验；遭受
"
pass up,"na. 绝交；放过；不理；上
"
pay a visit,"na. 访问
"
pay a visit to,"v. 访问；参观
"
pay attention,"v. 注意
"
pay attention to,"na. 注意
"
pay back,"na. 偿还；报答；向…报复；付还
"
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pay up,"na. (全部或按时)付清；缴清(股款等)
"
perform an operation,"na. (给某人)动(外科)手术
"
persist in,"v. 坚持
"
persuade sb. to do sth.,无
pick out,"na. 挑选；掘出；闻出；领会
"
pick up,"v. 拾起；探出；重新开始
"
pile up,"na. 堆积；积聚；(汽车等)挤在一起；(使)(船)搁浅
"
play a joke on,"v. 取笑
"
play jokes on, 戏弄；开玩笑；开……的玩笑
play a part in,"v. 贡献力量；起…作用
"
play a role in,"v. 起作用于
"
play with,"na. 玩弄(火等)；以…自娱
"
plenty of,"na. 很多的
"
point at,"v. 指向
"
point out,"na. 指出
"
point to,"v. 指向；针对
"
polish up,"na. 完成；〔口语〕改善；同“polish”
"
pour in,"v. 蜂拥而来
"
pour out,"v. 倾吐；诉说
"
prefer to,"un. 较喜欢；宁愿:
"
prefer to do rather than do,无
prefer to do rather than to do,无
prepare for, 准备；为…作准备；为…做准备
prevent ... from, 防止；阻止；预防
protect ... against,"un. 防止；陪伴
"
protect ... from, 保护；保护……免受；不受…之害
prove to be,"v. 证实
"
provide sth. for sb.,"v. 为…作准备
"
provide sth. to sb., 提供给
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
"
pull in,"na. 使后退；节省(费用)；(火车等)到站；船靠近(海岸)
"
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
"
pull out,"na. 拔(牙等)；把船划出；(车,船等)开出；(人)出发
"
pull over,"na. (把衣裳)从头上套下来穿；推翻(桌子等)；〈口〉把(车)靠拢路边
"
pull round,"na. (使)恢复健康
"
pull through,"na. 恢复健康；痊愈；渡过难关
"
pull up,"v. 拔起；使…停下
"
push ahead with, 推进；努力推进；推动
push for,"un. 拢；推到后面去；力图争取
"
push on, 继续向前， 坚决进行下去; 用力推[压]…; 把…强加于…; 进栈
push one's way through,无
push over,"na. 推倒
"
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
"
put an end to,"na. 结束
"
put aside,"na. “set aside”的变体
"
put away,"v. 把…收起来；储存
"
put back,"v. 放回；推迟
"
put by,"na. 积蓄；避开(人,质问等)；搁在一边；同“put aside ”
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put forth,"na. [send out 或 throw out] a feeler (用言语或动作)探听别人的反应
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put in place,"n. 安装
"
put ... in prison, 关进监狱；把……投入监狱；关押
put ... into,"na. 插入；注入；(船)入港
"
put into practice,"na. 实行
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
put one's finger,无
put one's foot in one's mouth,"un. 朗诵；胡说八道
"
put one's hands on,"un. 弄到手；算出来
"
put out,"v. 扑灭；熄灭；放出；伸出
"
put pressure on,"v. 对…施加压力
"
put pressure upon,vt.对...施加压力
put ... to ..., 靠岸；放在一起；放到
put through,"na. 经受；测试；试验；使…通过
"
put together,"na. 编辑；拼拢；比较考虑；使结婚
"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
put up with,"na. 忍住
"
puzzle about,"v. 为…大伤脑筋
"
puzzle over,"v. 为…大伤脑筋
"
quantities of, 大量的；大批；其后谓语用复数
quarrel with sb. about sth.,无
queue up,"n. 长队；车队；辫子
v. 把(头发)梳成辫子；〈英〉排(成)队
"
quite a few,"na. 很多；许多；相当多
"
rain cats and dogs,"v. 大雨倾盆
"
raise money,"na. 筹款
"
raise one's eyebrows,"表示惊讶或轻蔑[多用于被动语态]：

Eyebrows were raised when she came in barefooted.
她光着脚走进来,人人都大吃一惊。"
range from ... to, 范围从到；从……到……的范围；在……中变化
rather than,"na. 而不
"
rather too,"un. 稍嫌…一点
"
reach out,"na. 伸(手)；伸手(拿…)；(手)伸向前；(草木向…)生长
"
reach out to, 接触；把手伸向；联系
react against,"na. 反抗
"
react to,"v. 对…有反应
"
read out,v. 读出器，读出( readout的过去式和过去分词 ); 大声朗诵，宣读; 读出
realize one's dream,无
reckon on,"v. 依赖；寄望于
"
recognize ... as, 认出是；承认是；认为是
recommend doing sth., 建议做某事；推荐做某事；建议干
recommend that, 建议；从句；建议说
recover from,"v. 恢复
"
refer to,"v. 查阅；提到
"
refer to ... as,"v. 提交；归类；称谓
"
reflect on,"v. 考虑；回想
"
refuse to do sth., 拒绝做某事；拒绝去做某事；拒绝干某事
regard ... as,"v. 当作
"
regardless of,"prep. 不管；不顾；不理会
"
regret doing sth., 后悔做过某事；后悔干了某事；后悔做了某事
relate to,"na. 有关联；与…有关；理解
"
relieve from,使从(不愉快的境况)中解脱出来; 将某人免职
rely on,"v. 依靠；信赖
"
remark on,"v. 评论；批评
"
remark upon,"v. 评论；批评
"
remember doing sth., 记得做过某事；记得曾经做过某事；记得曾做过某事
remind sb. of sth.,"v. 提醒
"
remind sb. to do sth.,无
remind sb. not to do sth.,无
replace ... with,"v. 用…替换
"
remove ... from ...,"un. 被学校开除；不再需要
"
resign from,"v. 辞职
"
resign oneself to,"na. 听任
"
respond to ...,"v. 响应
"
result from,"v. 由于
"
result in,"na. 终于(失败)
"
retire from, 退休；从……退休；退出
return to,"v. 回到；返回；还给；降到
"
rid ... of, 摆脱；消除；使去掉
ride on,"un. 在…上运动:；依…而定:；骑在(马、自行车等)上:；在…上航行
"
right away,"na. 立刻
"
right now,"na. 目前；方才
"
ring back,"v. 回电话
"
ring off,"na. 挂断电话；〔美国〕停止说话；静默
"
ring out,"v. 响起
"
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
"
rip off,"v. 剥削；抢劫；强奸；〈俚〉剽窃
"
rise to one's feet,"na. 站起来
"
rise up against,无
risk doing sth., 冒险做某事；做某事是有风险的；冒做某事的风险
risk one's life,"na. 拼着财产
"
rob sb. of sth.,"v. 抢走
"
roll in,"na. (预约者,捐款等)滚滚而来；(浪)滚滚打来；大量进来；到达
"
roll over,"na. 滚动；使滚；〔美棒球〕得分；同“roll”
"
roll up,"na. 卷起(袖子)；包卷；积贮；缩成圆球
"
round up,"na. 弄成圆球；使数目恰好；使成一个整数；赶在一块儿
"
rule out,"na. 排除
"
run across,"na. “Come across”的变体
"
run after,"na. 〈非正式〉追求；追赶；追捕
"
run away,"na. 私奔；逃；弄不好
"
run for,"na. 去叫(…)；做…的候选人
"
run into,"na. 冲进；(河)注入(海)；撞上；到达
"
run out,"na. 耗尽；用光；过有效期；失效
"
run out of,"na. 用光…
"
run over,"v. 轧过；碾过；演练；排练
"
run through,"na. 穿过；匆匆忙忙看一遍；不间断地排练；花光
"
rush to,"un. 掠过；奔到；抢救
"
safe and sound,"na. 平安无恙
"
save sb.'s life,无
say hello to, 向……问好；向某人问好；打招呼
say yes,"na. 说“行”；答应
"
scores of, 许多；大量；几十个
search for,"na. 寻找；寻求；探求
"
second only to, 仅次于；次於；英文单词
second to none,"na. 最好的；第一流的
"
see about,"na. 注意；查看；查询；留意于
"
see fit,"na. 觉得…是适当的；“see/think fit”的变体
"
see off,"na. 送行；送别；告别；赶走
"
see through,"na. 看穿；看透；识破；办好某事
"
see to,"na. 注意；留心；当心；检查
"
see to it that, 保证；务必；务必要
seeing that,"na. “seeing”的变体；“seeing as/that”的变体
"
seek after,"na. 求；寻求；探究
"
seek for,"na. 求；寻求；探究
"
seek out,"na. 找出；寻求；想获得
"
seize on,"na. 猛扑；袭击；利用；采用(提议)
"
seize upon,"na. 猛扑；袭击；利用；采用(提议)
"
sell at,"v. 以…销售
"
sell for, 卖；以…的价钱出售；卖了多少钱
sell off,"na. (打折扣)销完；卖清(存货)
"
sell out,"na. 卖完；脱销；背叛；〈美口〉欺骗
"
send away,"na. 撵走；开除；解雇；把…送到远处
"
send for,"na. 派人去叫[请]；遣人去拿；乞求
"
send forth,"na. 发出(香气)；长[生]出(芽,枝等)；送出；发送
"
send in,"na. 拿出；提出；递(名片)；送
"
send off,"na. 寄出；发出；送走；打发
"
send out,"na. “send forth”的变体
"
send up,"na. 弄上去；使上升；提出(报告等)；传递(球等)
"
sentence ... to death, 判死刑；被判死刑；判处…死刑
separate ... from,"把...和...分开, 把...和...区分开, 使...从...离析"
separate ... into,"na. 分离成
"
set about,"na. 动手；开始；下手；着手
"
set an example,"na. 树立榜样；示范；以身作则
"
set apart,"na. 分开；分离；留出(充当别用)
"
set aside,"na. 搁置；拨出；驳回
"
set down,"na. 记入；登记；定；设
"
set fire to,"na. 点燃；放火
"
set foot on,"na. 踏上；“set foot on/in”的变体
"
set foot in,"na. 进入；“set foot on/in”的变体
"
set free,"na. 释放；【化】使游离
"
set in,"na. 固定；停当；涨潮；进来
"
set loose,"na. 解开；释放
"
set off,"na. 分；分割；划开；区划
"
set on,"na. 前进；嗾使；挑唆；挑拨
"
set out,"n. 开始；出发；动身；准备
"
set sail,"na. 张帆；开船
"
set to,"na. 认真着手；动手做；打起来；吃起来
"
set up,"na. 建立；创立；发起；开办
"
set up as, 当上了；使自己立业当；自称为
settle down,"na. 定居；成家；移居；平静下来
"
settle in,"na. 定居；殖民；搬入(新住所)；使某人搬进(新住所)
"
settle on,"na. 决定；选定；授与；赠与(财产,遗产等)
"
settle upon,"na. 决定；选定；授与；赠与(财产,遗产等)"
settle up,"na. 决定；解决；支付
"
share ... with ...,"un. 合伙；合住；承担；跟…看法一致
"
shop around,"na. 到处选购；到一家一家店铺访求[买东西]；〈美〉找事[好职位]
"
shortly after ...,"na. …之后立即
"
should have done sth., 本应该做；表应该做而未做；原本该做但是没做
shoulder to shoulder,"na. 密集；并肩；协力
"
show ... around,"v. 带…参观
"
show ... round,"show round
带(某人)参观
[主英国英语]= show around"
show off,"na. 卖弄；〈贬〉自以为是；趾高气扬；炫耀
"
show up,"na. 显眼；揭发；嘲笑；露面
"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
"
shut up,"na. 关住；监禁；密封；停止
"
side by side,"na. 并排着
"
sign up,"na. 同“sign”
"
sign up for, 报名参加；学生会报名；注册，选课
sit about, 呆坐着；坐着无所事事
sit down,"na. 坐下；住定；占有；(坐下来)开始工作(谈判等)
"
sit for,"na. 〈英〉参加(学位,奖学金等)考试；作…候选人；坐着
"
sit up,"na. 【体】仰卧起坐
"
sleep over,"na. 寄宿别人家；不在家过夜；忽略
"
slide into,"n. 陷入；滑入；躺上；沉迷
"
slow down,"na. 闲下来；减缓；放慢速度；减速
"
smooth away,"na. 排除；调停；粉饰
"
smooth over,"na. “smooth away”的变体
"
so as to,"na. (= in order to) 以便；为使
"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
"
so that,"conj. 因此；以便
"
so ... that ...,"所以,因而"
some day,"adv. 总有一天；有朝一日；将来
"
something like,"na. 约；有点像…的；〔口语〕了不起的；几乎
"
something of,"na. 在某种意义(或程度)上
"
soon after,"na. 不久
"
sooner or later,"na. 迟早；早晚
"
sort of,"adv. 有几分地
 （想不出恰当的词或不知下面该怎么说时用）可以说，可说是"
sort out,vt.& vi. 把…安排妥当; （从…中）区分出来，辨别出来; 分类; 整理; 整顿; 解决
speak highly of,"na. 称赞；赞扬
"
speak well of,"na. 称赞；“speak well for/of”的变体
"
speak of,"na. 讲起；特别推荐说
"
speak out,"na. 大声讲；老老实实讲
"
speak out against sth., 公然反对；发言反对；大声疾呼地反对
speak up,"na. “speak out”的变体
"
speed up,"na. 加快(机器等的)速度；使加紧做
"
spend ... doing,无
spend ... in doing,无
spend ... on, 花费；把…花在；在……方面花费
split up,"na. (使)分裂；〔美俚〕吵架；同“split”
"
spring up,"na. 跳上来；发生；萌芽；出现
"
spy on,"v. 探听
"
squeeze out,"na. 榨取；排斥
"
stand about, 闲立着；闲立著；闲站着
stand around, 坐着不做事；闲站着；闲坐
stand by,"na. 袖手旁观；站在旁边；待机；等待
"
stand for,"na. 〈口〉忍耐；忍受；主张；拥护
"
stand out,"na. 突出；显著；不参加战争；抵抗到底
"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stand up for,"na. 拥护
"
stand up to,"na. 抵抗；反抗；反对；经得起
"
star in, 主演；担任主角；表演
stare at,"na. 瞪着看
"
start doing sth., 开始做某事；开始做某事，两者无区别；都可以表示开始做某事
stay abreast of, 保持同步；领先；不落后于
stay up,"na. 不去睡觉；不沉
"
step aside,"na. 走到一旁；避到一旁；让给别人；走错路
"
step down,"na. 走下；退出；【电】下降；辞退
"
step by step,"na. 一步一步；切切实实
"
step up,"v. 加紧；走上前；登上；增加
"
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
"
stick to,"na. 忠于
"
stick up for,"na. 支持；维护；为…辩护
"
stick with, 坚持；继续支持；坚持做
stop ... from ..., 阻止；阻止某事发生；阻止…做
stop to do sth., 停下来去做某事；停下来去做另一件事；停下来做
straight away,"adv. 马上
"
straight off,"na. 立刻；“right/straight off”的变体
"
strike into,"突然,开始;(突然)跑,逃;打,扎(进),忽然转入"
strike on, 罢工；突然想起；打在…上
strike upon, 突然想到或发现
struggle against,"v. 反对
"
struggle for,"v. 争取
"
struggle to one's feet,挣扎着站立起来
study under sb.,v. 在…指导下学习
submit to,"un. 使某人忍受某事:
"
subscribe to,"v. 同意；赞成；订阅；定期捐款
"
succeed in,"v. 成功于
"
succeed to,"v. 继承
"
such as,"un. 例如；像；象…这样；诸如…之类
"
such ... that ...,"如此..., 以至..."
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚[苦，损]; 闹; 罹
sum up,"na. 〈口〉概括；总结
"
superior to,"adj. 胜过；优于
"
supply ... with ...,"v. 供给
"
suspect sb. of sth., 怀疑；对……猜疑；猪八戒怀疑
sweep over,"na. 风靡；向…扩展；环视；袭击
"
sweep up,"v. 打扫干净
"
switch off,"na. 不收听(某一广播)
"
switch on,"v. 打开；接通；参见
"
switch over,"na. 转换转变
"
switch to,"v. 转换到
"
take a breath, 深呼吸；深深地吸一口气；喘口气
take a chance,"na. 冒险一试
"
take chances, 冒险；冒一冒险；碰碰运气
take a decision,"做出决定,作决定"
take a look at,"na. (仔细)看一看
"
take a walk,"na. 散步
"
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
"
take after,"na. 尾随；仿效；像
"
take aim at,"na. (对…)瞄准
"
take an interest in,"na. 对…感兴趣
"
take apart,"na. 分解；拆分；剖析
"
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take ... by surprise,"v. 突然惊吓
"
take care,"v. 当心；留心
"
take care of,"na. 照看；处理；清除
"
take charge of,"na. 看守
"
take command of,"na. 担任指挥
"
take control of, 控制；掌管；取得对……的控制
take down,"na. 扯下；卷起；记下；卸下
"
take effect,"na. 有效验；生效
"
take exercise,"na. 运动
"
take ... for example, 以…为例；打比方
take ... for granted,"v. 想当然
"
take hold of,"na. “Catch hold of”的变体
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take ... into account,"na. 考虑
"
take ... into consideration,"v. 顾及
"
take it easy,"na. “take things easy”的变体
"
take measures,"na. 测定
"
take note, 注意到；记下；引起注意
take notice of,"v. 注意；理会；留心
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take office,"na. 就职
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take one's seat,"na. 就座；入座
"
take one's time,"na. 从容
"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take over,"na. 接管；继承
"
take pains,"na. 费苦心；尽力
"
take part in,"na. 参加；贡献
"
take place,"na. 发生；举行
"
take possession of,"na. 占领
"
take pride in,"na. 以…自豪；对…感到满意
"
take risks,"un. 冒险
"
take sb. in one's arms,无
take sb's advice, 接受；采纳某人的建议；接受某人的劝告
take sb.'s place, 解构发生；就位
take sides,"na. 左袒；拥护(某方面)
"
take sides with,"v. 袒护；拥护
"
take the lead,"v. 率先
"
take the opportunity,"v. 利用机会
"
take the place of,"na. 接替某人的位置
"
take to,"na. 嗜好；开始；参加；逃入
"
take turns,"na. 替换
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
talk of,"na. 讲；说要
"
talk about,"na. 讲(某事)
"
talk over,"na. 商谈；说服
"
talk to,"na. 向…谈；〔口语〕申斥
"
teach oneself,"na. 自学；自修
"
team up,"un. 配合
"
tear down,"na. 拆毁；扯下；猛冲
"
tear off,"na. 扯下来；扯掉；飞跑；〔美俚〕急急忙忙做成某事
"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
"
tell a joke, 讲笑话；说笑话；讲个笑话
tell jokes, 讲笑话；说笑话；讲个笑话
tell a lie,"v. 说谎
"
tell lies,"v. 说谎
"
tell ... apart,"na. 辨别
"
tell by,"v. 依据
"
tell sb. about sth.,把某事告诉某人
tell the truth,"na. 说实话
"
tend to,"v. 倾向于；有助于
"
test out,"na. 同“test”
"
thanks for, 为……而感谢；为…感谢；因……而感谢
thanks to,"v. 感谢；幸亏；多亏
"
that is to say,"na. “that is”的变体
"
the day after tomorrow,"na. 后天
"
the first time, 第一次；初次；第一次……的时候
the last,"adj. 最后；最近
"
the moment,"na. (= as soon as)一…(就)
"
the more ... the more ...,越...越...
the other, 他者；另一个；其他
the other day,"na. 上回
"
the others, 小岛惊魂；其他；其他人
the same ... as,"adj. 与…同样
"
the same ... that, 同一个；就是那一个；指代同一物体
think about,"un. 思考；探讨；为…费心思；想像
"
think aloud,"na. 自言自语
"
think back to, 回想；回想过去；回忆起
think highly of,"na. 尊重；评价极高
"
think well of,"na. 认为好
"
think nothing of,"na. 轻视；满不在乎；不重视
"
think of,"na. 想起
"
think of ... as, 把…认为是；看作；把…当作
think out,"na. 想透；想出
"
think over,"v. 仔细考虑
"
think twice,"na. 重新考虑；踌躇；“think twice/again”的变体
"
think up,"na. 想出；〔口语〕发明
"
thousands of,"adj. 几千；成千上万
"
throw ... at ...,"v. 向…投掷
"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
throw light on,"na. 弄明白
"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
"
throw oneself on,"na. 依靠；求助于；完全依赖于；猛扑
"
throw up,"na. 呕吐；抛上；急造；丢弃
"
tidy up,"v. 整理干净
"
time and again,"na. “time after time”的变体
"
till now,"na. 迄今
"
tire out,"na. 使疲倦到极度
"
to be honest, 老实说；说实话；说实在的
to one's credit, 值得赞扬；为……带来荣誉；在……名下
to sb.'s delight,无
to sb.'s surprise,无
to the contrary,"na. 反对地
"
to the point,"na. 露骨；中肯
"
together with,"na. 和…一起[合起来]
"
too much,"na. 太过份
"
too ... to, 太……而不能；太……以致不能；用法
trade with,"un. 从事贸易；与…做生意:
"
translate into,"v. 译成
"
treat ... as, 对待；当作；当做
treat ... to ..., 款待；招待；请客
trick sb. into doing sth.,无
trip over,"un. 绊在障碍物上而跌跤:
"
try for,"na. 求；企图达到；立志要
"
try one's best,"na. 尽全力
"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
try to do, 尽力做某事；努力做某事；试着做某事
turn a blind eye to,"na. 对…熟视无睹；假装不见
"
turn against,"na. 背叛；使对抗；厌恶
"
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn away,"v. 转变方向
"
turn back,"na. 同“turn down ”
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn in,"v. 向里弯曲
"
turn into,"v. 变成
"
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn one's back, 不愿帮助；在别人遇到困难时；不理会某人
turn one's back on,"na. 不理睬；丢弃；逃出
"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn to,"v. 向(某人)求助；求助于
"
turn up,"v. 朝上翻；出现
"
under age,"na. 未成年
"
under any circumstance, 任何情况下；我们风雨无阻；我只能说名不要乱签
under all circumstances,"na. 无论如何
"
under construction,"na. 建筑中
"
under control,"un. 失去控制；被控制住；克制；在控制之下
"
under pressure,"un. 在压力下
"
under repair,"un. 在修理中；正在修理
"
under sb.'s direction,无
under the charge of,"na. 在…看护下的
"
under the name of,"na. = nameless.；名字说不出来
"
under way,"na. 进行着；【航海】航行中
"
up and down,"na. 忽上忽下；各处；来来去去；升降浮沉
"
up in the air,"na. 悬而未决的
"
up to,"na. 干(着)；到；胜任；…的责任
"
up to date,"adj. 现代的；最新的；时髦的；新式的
"
up to now,"na. 到现在为止
"
up until, 一直到…为止；不多于
upside down,"adv. 颠倒；倒转；翻转
"
use up,"na. 用完；耗尽
"
used to do, 过去常常做某事；过去常做某事；过去常常作某事
vary from ... to ...,"vi.从...到...不等,从...变化为"
view ... as,"把...看作..., 认为...是..."
vote against,"v. 投票反对
"
vote for,"na. 赞成；〈口〉建议
"
wait for,"na. 等；等待
"
wait on,"v. 等着
"
wait upon,"v. 侍候
"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
walk along,"na. 向前走
"
walk of life,"na. 职业；身分；阶级
"
wander about,"na. 徘徊
"
wander around, 徘徊；游荡；到处闲逛
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
warn of,"na. 警告(某人)有危险
"
warn about,v. 就…提出警告
wash away,"v. 清洗
"
wash down,"na. 洗掉；冲下
"
wash out,"v. 洗掉
"
wash up,"na. 饭后洗碗；洗脸；将…冲上岸；(出人意料地)出现
"
waste ... doing sth.,无
waste ... on sth.,在(某方面)浪费时间，浪费钱财
waste ... in doing sth.,无
waste ... in sth.,vt.在...方面消费
waste one's breath,"na. “waste one's words”的变体
"
watch for,"v. 期待；等待
"
watch out,"na. 当心；留神；小心；提防
"
watch over,"na. 监视；留心；看护
"
wear off,"na. (精力)衰退；(衣服等)渐破
"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
what about ...,"un. 不；…怎样
"
what for ...,"un. …怎样；为何；处罚；为什么
"
what if ...,"v. 应如何
"
