a bit,"na. 有点儿〔作副词用〕
"
in tune,"na. 合调；和谐；“in/out of tune”的变体
"
in tune with, 协调；与…和谐；适合
in turn,"na. 挨次
"
in use,"na. 正在用；通行；“in/out of use”的变体
"
in vain,"na. 无益地；轻慢地
"
in view of,"na. 鉴于；为要；在…能看见的地方；估计[预料]到才
"
in view,"na. 看见；放在心里；考虑中的
"
in vogue,"adv. 时髦；正在流行
"
in the circumstances,"na. 远不及
"
under the circumstances,"na. 在这种情形下
"
indulge in,"v. 沉迷于
"
infer from,"v. 推断
"
inflict ... on,"un. 遭受
"
inflict ... upon,使…受痛苦;给…以(打击、惩罚)
influence on, 影响；对…的影响；对…有影响
influence with,无
influence upon,无
inform sb. of sth.,"v. 通知关于
"
inform sb. about sth., 将…告知（某人）
inherent in,"adj. 固有
"
inquire into,"na. 调查；探索
"
insulate ... from,(使)与…隔绝
inspire sb. with sth., 激励；以……激励
inspire sth. in sb.,"v. 鼓吹
"
instead of,"prep. 代替；作为…的替换
"
integrate into, 融入到……中去；成为一体，融入；使并入
integrate with,"v. 结合起来
"
intend to do, 打算做某事；想要做；打算去做
interfere in,"v. 干涉
"
interfere with,干扰，干涉；妨碍；触动或弄坏；乱动；与……抵触
interpret ... as, 把……理解为；解释为
invest in,"v. 投资到
"
involve sb. in,"v. 卷入
"
isolate ... from, 使隔离；使孤立；分开隔离
join sb.,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点
"
join sb. for,无
joke about,"v. 开…的玩笑
"
jump the queue,"na. 不按次序排队；企图获得优惠待遇
"
jump a queue,无
just about,"na. 正是…附近
"
just as,"na. 正像；正在…的时候
"
keep a hold on,无
keep a record of,"un. 公开(提倡)；把…记下来
"
keep an eye on,"v. 密切注意
"
keep away from,"v. 远离
"
keep back,"na. 隐瞒；阻止；阻止向前；忍住
"
keep company with,"na. 和…常来往；同…结伴
"
keep down,"na. 压住；压服；【印】用小活字排印；缩减
"
keep from,"na. 避开；禁止；抑制；隐瞒
"
keep in mind,"na. 记在心里；记住；注意
"
keep in touch, 保持联系；保持联络；再联系
keep off,"na. 不让接近；不接近
"
keep on,"na. 继续；穿[戴]着不脱
"
keep one's distance,"na. 避开
"
keep one's eyes open,"na. 时刻提防；留神监视
"
keep one's eyes and ears open,无
keep one's finger crossed,无
keep one's head,"na. 不慌不忙
"
keep one's promise,"na. 遵守诺言；守约
"
keep one's word,"na. 守约；履行诺言；说话算话
"
keep out of,"v. 置身事外；把…挡在…外
"
keep to,"v. 坚持；固守
"
keep track of,"na. 追踪；记录；保持联系；密切注意…的动向
"
keep up to date, 使跟上时代；跟上潮流；与时并进
keep up with,"na. 不落后
"
keep up,"na. 支持；保持；继续；停歇
"
keep abreast of,"na. 跟着(时代)跑
"
keep abreast with,"na. 跟着(时代)跑
"
be abreast of, 使不落后于
be abreast with,(使)保持与…并列; 了解…的最新情况
keep one's temper,"na. 忍气
"
hold one's temper,捺住性子，忍住气，不使脾气发作
keep pace with,"na. 赶上；保持同步；随着…而增长
"
hold pace with,与……同步
kick sth. around,"na. 仗势欺人；到处流浪；经常改变行业；从各个角度考虑[调查,讨论等]
"
kick around,"na. 仗势欺人；到处流浪；经常改变行业；从各个角度考虑[调查,讨论等]
"
kick off,"na. (足球)中线开球；开始(某种活动)；死；踢脱(鞋等)
"
kick out,"na. 踢出；解雇；踢足球出界
"
kick up,"na. 踢起(灰尘)；引起(骚动)
"
kill time,"v. 消磨时间
"
knock about,"n. 武打戏的表演[演员]；结实的东西；狠斗；流浪汉
adj. 吵闹的；〈口〉流浪的；(衣服)结实的
"
knock around,"na. “knock about”的变体
"
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
"
knock out,"na. 敲出；敲空；使屈服；使无用
"
know backward,"对…了如指掌, 熟知…"
know backwards,熟知; 精通
know better,"na. 明白事理(而不致于…)；很明白(而不致于…)
"
know better than,"un. 心中有数；很明白(不能去)…
"
know of,"v. 知道有
"
know about,"v. 知道
"
lag behind,"na. 落后
"
lash out,"na. 痛批；斥责；痛打；突然袭击
"
lash out at,"v. 痛打；狠踢
"
last hurrah,"na. 最后的努力[尝试]
"
laugh off,"v. 对…一笑置之
"
launch into, （使）在（水）中漂浮; 使下水; 发射上天; （使）开始从事
lay aside,"na. 保存；放在一边；丢弃；留着
"
lay claim to,"na. 要求(…是自己的)；自以为是
"
lay down,"v. 躺下；不反抗；屈服；顺从
"
lay off,"na. 辞退；停止；暂停
"
lay out,"n. 布局；设计；规划；安排
"
lay over,"n. 中途的短暂停留
"
lay stress on,"na. 强调
"
lay the foundation for,"na. 给…打下基础
"
lead the way,"na. 领路
"
lead to,"na. 通向
"
lead up to,"na. 渐渐诱入；【牌戏】设法引出
"
leaf through, 迅速翻阅；匆匆翻阅；快速翻阅
lean on,"na. 靠在；倚赖；【军】据险(固守)
"
learn about,"v. 得知关于；学习关于
"
leave alone,"na. 丢下不管；不要管
"
leave behind,"na. 遗留；留下；追过；留在后头
"
leave off,"na. 戒除；不再穿；休假许可
"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
leave to one's own devices, 听任…自便；让…自行发展；让某人自已去想办法
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
let down,"na. 使失望；放下；丢面子
"
let go,"v. 放手；解雇；松手；忽视
"
let in,"na. 放入；嵌入；陷入…；〈俚〉欺骗
"
let loose,"na. 释放；放任；放走
"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
let out,"na. 放宽；打；放出；泄漏
"
let rip, （非正式）全力以赴，无拘无束行事，自由自在地行动
let ... slide,"na. 不关心
"
level off,"na. 弄平；达到同一水准；(物价等)稳定；(飞机降落前)水平飞行
"
lie in,"na. 存在于；(分娩后)坐月子
"
life span,"n. 寿命
"
light up,"na. 点灯；照亮；点香烟；变快活
"
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
"
linger on,"na. 同“linger ”
"
listen in, 收听广播节目; 在一旁听人讲话; 监听;  窃听
little by little,"na. “by little and little”的变体
"
live by,"na. 靠…为生；住在…附近
"
live off,"na. 住在…之外；以…为生
"
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
"
live out,"na. 住在外面；活过
"
live through,"na. 度过
"
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
"
live with,"v. 和…住在一起；和…同居；和…妥协；容忍
"
lock away,"na. 锁起来
"
log in,"na. 进入电脑工作系统；“log on”的变体
"
log on,"un. 注册
"
log out,"v. 退出
"
long for,"v. 渴望
"
look back on,"v. 回顾
"
look down on,"v. 轻视；看不起
"
look forward to,"na. 盼望
"
look in on, 1。 顺便拜访; 2。 短暂拜访; 3。 乘便拜访
look into,"na. 窥视；调查；过问
"
look on,"na. 旁观；面向；看做
"
look out for,"v. 照料；寻求；期待；提防
"
look over,"na. 浏览；检查；察看
"
look round,"na. 环顾；仔细考虑；往周围一看；回头看
"
look around,"na. 看起来好像；环视
"
look through,"na. 浏览；翻查；对…视而不见；看穿
"
look to,"na. 依赖；注意；照料；〈美〉倾向…
"
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
"
look up,"v. 查找；查阅；探望；看望
"
loosen up,"na. 宽舒；信口开河；慷慨解囊
"
lose control of,"na. 失却对…的控制力
"
lose heart,"na. 沮丧
"
lose one's head,"na. 被砍头；着慌；被斩首；被搞糊涂
"
lose one's nerve, 没勇气；丧失理智；紧张
lose one's temper,"na. 发脾气；发怒
"
lose one's way,"na. 迷路
"
lose track of,"na. 忘记
"
lump ... together,"na. 总计
"
major in,"v. 主修
"
make a bargain with,"和……讨价还价
与......达成协议"
make a boast of,自豪地说到，夸耀
make a compromise, 妥协；折衷；做出让步
make a contribution to,"na. 捐赠；贡献给
"
make a dash for,"na. 向…猛冲
"
make a face,"un. 正视；做鬼脸
"
make a fool of,"na. 愚弄
"
make a fortune,"na. 发财
"
make a fuss of,"un. 过分关心
"
make a living, 谋生；度日；维持生计
make a mess of,"na. 把…弄糟[弄坏]
"
make a mistake,"na. 犯错误
"
make a profit, 获利；赚钱；赚取利润
make a raid on,无
make a recovery from,无
make a remark, 评论；议论
make a splash,"na. 发出泼溅声；引起轰动
"
make a thing of, 认为……重要；认为…非常重要；把……作为争论点
make a thing out of,对 ... 小题大做
make ... a top priority,无
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
"
make the difference, 产生差别；发现你的不同；有影响
make allowance for,"na. 体谅；留有余地；斟酌；扣除
"
make allowances for,"un. 考虑到
"
make an abstract of,"na. 把…的要点摘录下来
"
make an appointment,"n. 【医】预约
"
make an offer,"na. 提议；提供；出价
"
make an effort,"na. 努力作出
"
make every effort,"na. 力求；费尽心血
"
make certain,"na. 保证
"
make contact with,"un. 与…接触
"
make do with,"na. 用(某物)设法应付
"
make ends meet, 使收支相抵；量入为出；收支平衡
make for,"na. 有利于；对…有益；倾向于；支持
"
make fun of,"na. 嘲弄
"
make haste,"na. 赶紧
"
make history,"na. 做名垂青史的大事
"
make mention of,"na. 写到
"
make no bones about,"na. 率直；对…毫不踌躇
"
make no difference,"un. 在意；没关系；没有差别；无动于衷
"
make no sense,"v. 无意义
"
make nothing of,"na. 轻视；满不在乎；认为不在话下
"
make of,"na. “make certain”的变体
"
make off,"na. 逃亡
"
make one's acquaintance of sb.,无
make one's hair stand on end, 令人发指
make one's way,"na. 前往；发迹
"
make out,"na. 理解；发现；起草；证明
"
make over,"na. 让；改造
"
make peace with,"v. 和…和好
"
make provision,"na. 准备
"
make ready,"na. 作好准备；整装
"
make sense,"na. (话等)有意义；合理；有道理；讲得通
"
make sure of,"na. 弄明白；将…拿到手；叮嘱明白；查明无误
"
make sure that,"查明, 弄确实, 弄清楚, 保证, 设法一定做到, 务必, 如此安排"
make the best of,"v. 充分利用
"
make the grade,"na. 上陡坡；达到标准；成功
"
make the most of,"na. 充分使用；尽量使好[不好]看；极为重视；尽量称赞[贬损]
"
make up for,"v. 偿还；赔偿
"
make up one's mind,"na. 决心 (to do)
"
make up,"na. 弥补；起草；定；签订
"
make use of,"na. 使用
"
make way for,"v. 让路
"
make a pledge to do,无
give a pledge to do,无
make a stab at,"na. 对某事有企图
"
take a stab at,"na. 对某事有企图
"
have a stab at,"na. 试图做某事
"
many a,na. 很多；[〔古语〕 an] one 许许多多人
map out, 在地图上标出; 筹划[安排]某事; 详细提出某事; 规
mark down,"na. 记下；减价；【打猎】记清(禽兽逃往处)
"
mark time,"na. 踏步；踌躇；【军】原地踏步；(转义)停滞不前
"
mark up,"na. 涨价；赊账
"
mean to do, 打算做某事；想要做某事；本意是想要做某事
measure up to,"na. 达到(希望等)
"
mediate in,无
mediate between,在…之间调解〔调停〕
meet with,"na. 碰见；遭遇；偶然发现；达到
"
mess up,"na. 搞砸；弄糟；弄脏；弄乱
"
mess with,"v. 惹恼
"
might as well,"na. 不如
"
millions of,"det. 数百万
"
mind your own business, 管好你自己的事；少管闲事；别管闲事
miss out,"na. 错过(机会等)；遗漏
"
mistake sb. for,"v. 把…错认
"
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
mix with,"v. 混合
"
model after,"v. 按模型制作
"
mop up,"na. 揩干；吸取(利润等)；痛击；〈口〉狼吞虎咽地吃[喝]
"
more often than not,"na. 通常
"
more than,"na. …以上；比…更
"
move around,"v. 走来走去
"
move away, 离开; 搬到别处去住; 改变（见解）; 挪开
move forward,"na. 前进
"
move off,"na. 离去；〔俚语〕死；(货物)畅销
"
move on,"na. 继续前进；(使)继续前进；〔交通警察命令〕向前!
"
move out,"na. 搬出；【军事】开始行动
"
move up,"na. 提上
"
mow down,"v. 杀死；扫杀
"
much as, 虽然；多达；非常像
multitudes of, 众多
murmur against, 小声抱怨
name after,"na. name for 用(别人,别物的名字)命名
"
neither ... nor, 既不……也不；两者都不；均不
never mind,"un. 没关系；不要紧；开诚布公地谈
"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
"
night and day,"na. 日夜；不分昼夜
"
no doubt,"na. 无疑地；〈口〉很可能
"
no less than,"prep. 多达
"
no longer,"na. 不再
"
no matter how,"na. 不管怎样
"
no matter what,"na. 不管怎什么
"
no matter when,"na. 不管怎什么时候
"
no more than,"na. 不过是；仅仅
"
no more,"na. (此后)不再；死了；…也不[没有]
"
no sooner ... than,"na. 才…(就)
"
no wonder, 难怪；怪不得；不足为奇
none other than,"na. 正是；而是；恰恰是
"
not in the slightest,"na. (=not at all)一点不
"
note down,"un. 记录
"
nothing but,"na. 不外；〔美国〕〔加强语气〕的确
"
nothing more than,"un. 只有；跟…迥然不同；只不过
"
now and then, 偶尔；时而；不时
now that,"na. 由于
"
nowhere near,"na. 远远没有；总不如(那么好等)
"
object to,"na. 反对
"
occupy oneself with, 从事；忙于某事；忙于做某事
occupy oneself in, 忙于；从事于；专心于
occur to, 想到；被想起；被想到
odds and ends,"n. 零碎；琐碎的东西；小玩意
"
of a kind, 同类的；同一类的；徒有其名的
of no account,"na. 不重要的
"
of one's own accord,"na. 自愿地
"
of no avail,"un. 无济于事；无效的
"
to no avail,"na. 无益；“to/of no avail”的变体
"
off balance,"un. 偿清债务；趔趄
"
off duty,"na. 下班；在工作时间外
"
off the cuff,"na. 马上；即兴地；非正式地
"
off the track,"na. 出轨；出岔子；(话)离题；(猎狗)失去嗅迹
"
omit doing,无
omit to do, 经常用法
on impulse, 一时冲动；一时心血来潮；冲动的
on the impulse of ..., 凭冲动
on average, 平均；平均起来；通常
on the average,"na. 平均；一般说来
"
on an average,"na. 平均；一般说来
"
on a dime,"na. 在极小的地方；立刻
"
on a large scale,"na. 大规模地
"
on a small scale,"na. 小规模地
"
on account of,"na. 因为
"
on account, 先付; 暂付; 用赊购的办法; 用分期付款的办法
on and off,"na. 断断续续；偶尔；(航海)时而靠岸时而离岸地；不规则地
"
on any account,"na. 无论如何
"
on behalf of,"na. 替；为…的利益
"
on board,"na. 在船上；〔美国〕在车上；〈口〉【棒】出垒
"
on business,"na. 因公
"
on campus,"na. 在校内
"
on condition that,"na. 在…的条件下
"
on cue, 恰好在这个时候；恰好在这时候；就在这个时候
on demand,"na. 请求即
"
on every account,na. 无论如何
on all accounts,"na. 无论如何
"
on file,"na. 合订成册
"
on fire,"na. 燃烧着；兴奋着
"
on guard,"na. 看守；值班
"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
"
on impulse, 一时冲动；一时心血来潮；冲动的
on loan,"na. 出借
"
on no account,"na. … on any account 决不
"
on occasion,"na. 有时；遇必要时
"
on one's behalf,"为…的利益,代表"
on one's honor, 以名誉担保
on one's own account,"na. 独自地；独立地；凭自己力量；主动地
"
on one's own behalf,无
on paper,"na. 纸上；统计上；理论上
"
on purpose,"na. 故意；意欲
"
on record, 记录在案的；记录在案；记录下来的
on sale,"na. 出售的；上市的；出售(的)；廉价出售(的)
"
on schedule,"na. 按时；按时间表；按照预定计划
"
on second thoughts,"na. 经重新考虑后；再次考虑后
"
on short notice,"na. 忽然；急忙；“at/on short notice”的变体
"
on strike,"adj. 罢工
"
on the alert,"na. 警惕
"
on the basis of,"na. 以…为基础
"
on the contrary,"na. 反之
"
on the edge of,"na. 快要
"
on the fast track,[口语]平步青云，飞黄腾达；迅速发展的(常指有所创新)
on the fence,"na. 犹豫未决的；中立的
"
on the foundation of,无
on the ground of,"na. 由于
"
on the ground that,"conj. 理由是
"
on the grounds that,"un. 基于；由于
"
on the horizon,"na. 在地平线上
"
on the hour,"na. 准时地；按整小时地
"
on the instant,"na. 立即；即刻
"
on the outskirts,无
on the quiet,"na. 私下；偷偷
"
on the rise,"na. 在涨；在增加；好转
"
on the run,"na. 跑着
"
on the scale of ... to,无
on the shelf,"un. 废弃的；滞销的；闲置的
"
on the side,"na. 顺便；作为副业；〔美口〕略略添上
"
on the sly,"na. 秘密地
"
on the spot,"na. 当场；立刻；【商业】用现货[现款]；(人)准备妥当
"
on the spur of the moment,"na. 一时兴起[冲动]；当场
"
on the threshold of,"na. 在…的开头
"
on the verge of,"na. 将近(几岁)；即将…
"
on the whole,"na. 整体上说
"
on thin ice, 如履薄冰；履於薄冰；步履薄冰
on top of,"na. 在…之上；逼近；胜任(工作等)；掌握(情况等)
"
on oath,"na. 发誓
"
under oath,"na. 发誓
"
once for all,"na. 只此一次；断然
"
once and for all,"ph. 一劳永逸地
"
once in a while,偶尔；有时（等于every once in a while）
only if,"conj. 只有当
"
open up,"na. (打)开；割开；开发(资源)；揭示
"
or else,"na. 不然
"
or so,"un. 与其说…不如说…；大约
"
or something,"na. 大概是…之类的
"
orient ... to, 适应；以……为方向；动物与人皆适应
orient ... toward,无
originate from,"v. 起源于；发源于
"
other than,"na. 与…不同；除了
"
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
"
out of breath,"na. 大喘气
"
out of control,"na. 失去控制
"
out of danger,"na. 脱离危险
"
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
"
out of hand,"na. 即时；脱手；告终；难对付
"
out of joint,"na. 脱节；纷乱；不协调；不满
"
out of order,"na. 杂乱无章；不合规则；情况反常；有故障
"
out of place,"na. 不得其所的；不适当的；不相称的；碍事的
"
out of practice,"na. 久不练习
"
out of scale,"n. 不按比例的
"
out of sight,"adv. 无影无踪
"
out of step,"na. 错了步伐
"
out of stock,"na. 售完
"
out of style,"na. 没有样子；“in/out of style”的变体
"
out of temper,"na. 动气
"
out of the blue,"un. 难得到的；突然；突如其来；出人意料
"
out of the way,"na. 向旁边；让开；迷失；误
"
out of touch,"adj. 失去联络
"
out of tune,"na. 不合调；失调；“in/out of tune”的变体
"
out of work,"na. 失业；(机器等)有毛病
"
out of curiosity,"na. 在好奇心驱使下
"
out from curiosity,无
overflow with,"na. 充溢
"
owe ... to,"v. 由于；把…归功于
"
owing to,"conj. 由于；因为
prep. 因为；由于
"
own up,"na. 坦白地承认；供认
"
pack in,"na. 停止
"
pack off,"na. “pack away”的变体
"
pack up,"na. 把…打成包；打包；捆好东西；解雇
"
package deal,"un. 〔经〕一揽子交易
"
pair off,"na. 使分成[摆成]一对一对；两个成一组
"
pair ... with, 与…配对；与…成对；使…与…配成对
palm off, 甩掉；用欺骗手段把…卖掉；用欺骗手段出售货物
parcel out,"na. 分派
"
part and parcel of,"na. 重要[基本]部分；(…的)重要部分
"
part with,"na. 跟…分别；解雇；卖掉(东西)
"
participate in,"v. 参加；分享
"
pass away,"na. 消失；Vi. 经过；去；终止
"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
pass off,"na. 拿(假货)卖给 (on somebody)；混过去；结束；顺利完成
"
pass on,"na. “pass away”的变体；递；传达；通过
"
pass out,"v. 昏倒；分发；主要用于英式英语
"
pass over,"na. 越过；通入；弹；过(日子)
"
patch up,"na. 拼凑；结束；制止；匆忙处理
"
pave the way for,"na. 为…铺平道路；使…容易到来
"
pay attention to,"na. 注意
"
pay back,"na. 偿还；报答；向…报复；付还
"
pay compliments to sb.,无
pay deal,无
pay down,"na. 付现；即时支付；(分期付款购货时)先支付部分货款
"
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
"
pay in cash,"un. 现金支付
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pay up,"na. (全部或按时)付清；缴清(股款等)
"
peel off,"na. 离队；【航空】开始离队急降[俯冲]
"
peer at, 凝视；仔细看；眯眼看
peer pressure, 同侪压力；同伴压力；同辈压力
peg away at,"un. 继续做:
"
penalty for, 对…的处罚；罚金；对…的处罚，罚金
persist for,无
persist in,"v. 坚持
"
phase in,"na. 逐步采用
"
phase out,"na. 使逐步结束；使逐步撤出；逐步淘汰；逐部停止(活动等)
"
pick out,"na. 挑选；掘出；闻出；领会
"
pick up,"v. 拾起；探出；重新开始
"
pick to pieces, 严厉批评，对…吹毛求疵
pull to pieces,"na. 扯碎；批评得一文不值
"
pile into,"v. 蜂拥而入
"
pile up,"na. 堆积；积聚；(汽车等)挤在一起；(使)(船)搁浅
"
pitch in,"na. 热情参加
"
place an emphasis on,无
put an emphasis on,无
lay an emphasis on,无
play a role in,"v. 起作用于
"
play down,"na. (迎合对方的意思)放低语气  减弱；轻描淡写
"
play havoc with, 陷入大混乱；搅乱；破坏
play second fiddle to, 当的副手；居次位
plead against,na. 反驳；劝人不要…
plead for,"na. 恳求
"
plough through,"un. 破浪航行
"
plug in,"v. 插入；插插头；插上
"
plunge into,"v. 投入；跳进
"
plunge sth. into,"v. 投入；跳进
"
point of view,"n. 观点；态度；意见；看法
"
point out,"na. 指出
"
poke fun at,"na. 嘲弄
"
poke one's nose into,"na. 管…的闲事；干涉
"
polish off,"na. “polish away”的变体
"
polish up,"na. 完成；〔口语〕改善；同“polish”
"
pop up,"v. 突然出现
"
portion out,"un. 分配:
"
pose a threat to, 对…有一种威胁；对……构成威胁；对……造成威胁
pour down,"v. 倾注；奔流而下
"
pour ... into, 不断地[大量地]流进[涌进]; 注入; 灌注; 倾注
pour out,"v. 倾吐；诉说
"
praise for, 称赞；因…表扬某人；因某事称赞某人
preferable to,"adj. 优于；胜过
"
preference for, 防备；预防；偏爱
prepare for, 准备；为…作准备；为…做准备
preside at,"un. 作主席:
"
preside over,"v. 主持会议
"
press on,"na. 向前挤；坚决推进；“press ahead”的变体
"
presume on,〈正〉不正当地利用〔滥用〕; 指望
prevail on,"v. 说服；劝说
"
prevail upon,"v. 说服；劝说
"
prevail over,"v. 胜过
"
prevent ... from doing,无
previous to,"adj. 前于
adv. 在…之前
"
prey on,"v. 捕食；掠夺
"
prick up one's ears,"na. (狗)竖耳
"
prior to,"adj. 前于
"
probe into,"v. 探索；刺激
"
proficiency in, 熟练；精通；熟练精通
profit by,"v. 得益于
"
profit from,"v. 得益于
"
prohibit sb. from doing, 禁止某人做某事；禁止做
prone to,"v. 易于
"
prop up,"na. (把…)撑住；给…撑腰
"
propose to do, 打算；打算做某事；建议做
propose to doing,无
protect against,"un. 防止；陪伴
"
provide for,"v. 为…作准备
"
provide sb. with,"v. 供给；供应
"
public figure, 公众人物；公共人物；知名人士
pull ... apart,"na. 扯断(索子等)；劝开(吵闹)
"
pull away,"un. 绷起脸；开走；抽回；挖走
"
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
"
pull in,"na. 使后退；节省(费用)；(火车等)到站；船靠近(海岸)
"
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
"
pull on,"na. 穿上(衣服)
"
pull out,"na. 拔(牙等)；把船划出；(车,船等)开出；(人)出发
"
pull over,"na. (把衣裳)从头上套下来穿；推翻(桌子等)；〈口〉把(车)靠拢路边
"
pull through,"na. 恢复健康；痊愈；渡过难关
"
pull together,"na. 通力合作；拼凑
"
pull up,"v. 拔起；使…停下
"
push aside,"v. 推开
"
push away,"na. 推开
"
push into, 推进；推动；小艇靠岸
push up,"v. 提高；强使(物价等)上升
n. 【体】俯卧撑
"
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
"
put over,"na. “put across”的变体；(船)渡过去；延期
"
put an end to,"na. 结束
"
put aside,"na. “set aside”的变体
"
put away,"v. 把…收起来；储存
"
put ... down to, 归因于；说…因而起；归因为
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put in for,"na. 申请
"
put ... in order,"na. 整顿
"
put in,"v. 探进；放进；输入；纳入
"
put ... into effect,"na. 实行
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
put out,"v. 扑灭；熄灭；放出；伸出
"
put right,"na. 改正；修理；矫正；订正
"
put sb. through,"na. 经受；测试；试验；使…通过
"
put ... to death,"na. 处死；处死刑
"
put ... to use,"na. 用
"
put up with,"na. 忍住
"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
put ... into operation,"na. 实施
"
bring ... into operation,"v. 将…投入生产
"
put a premium on,"na. 诱发；助长；鼓励；奖励
"
place a premium on,"na. 诱发；助长；鼓励；奖励
"
puzzle out,"na. 解决(难题等)
"
puzzle over,"v. 为…大伤脑筋
"
qualify for, 有…资格；使具有…的资格；有资格充任
quantify the risks of,无
quest for,"un. 寻找；设法找到
"
queue for,无
quite a few,"na. 很多；许多；相当多
"
quite a little,"na. 丰富
"
quite a number of,"adj. 不少
"
rail at,"un. 沉不住气；大骂；责备
"
rail against, 抱怨；责骂；嘲骂
raise eyebrows, 皱眉；吃惊；使吃惊
range between,"v. 无意中听到
"
range from ... to, 范围从到；从……到……的范围；在……中变化
range over,"un. (在一个地区等)徘徊；俯视；涉及；考虑:
"
rap out,"na. 突然说出；把(意思等)用敲击声表现出来；敲奏(钢琴)；击倒
"
rare bird, 珍禽；珍稀鸟类；奇异珍贵的宝物
rather than,"na. 而不
"
rattle off,"un. 口若悬河；一口气讲
"
rattle on, 喋喋不休；飞奔；罗嗦
reach a compromise over,无
reach a settlement, 达成和解
reach an agreement, 达成协议；达成一致；达成共识
react against,"na. 反抗
"
react on,"v. 对…有反应
"
react upon,vt.影响
react to,"v. 对…有反应
"
read through,"na. (从头到尾)读完
"
reckon ... as,"〈非正〉被认作…, 被看作…"
reckon ... to be,无
reckon on,"v. 依赖；寄望于
"
reckon with,"na. 和…算账；将…加以考虑
"
reconcile to,"v. 甘心,接受"
recover from,"v. 恢复
"
reel off,"na. 从纺车上把线拉出；(用茧)缫(丝)；滔滔不绝地讲
"
refer to,"v. 查阅；提到
"
refer to ... as,"v. 提交；归类；称谓
"
reflect on,"v. 考虑；回想
"
refrain from,"na. 戒(烟)
"
regard ... as,"v. 当作
"
regard ... as,"v. 当作
"
view ... as,"把...看作..., 认为...是..."
regardless of,"prep. 不管；不顾；不理会
"
register for, 注册；选课；登记参加
register with, 挂的号；注册码；登记
reign over, 统治；盛行；有权就会管辖
rein in,"na. 勒住(马)；控制
"
relate to,"na. 有关联；与…有关；理解
"
relate with,把…同…联系起来 connect sth in thought or meaning
relevant to,"adj. 有关
"
relieve sb. of,"v. 解除
"
reluctant to do,无
rely on,"v. 依靠；信赖
"
rely upon,"v. 依靠；信赖
"
remark on,"v. 评论；批评
"
remark upon,"v. 评论；批评
"
remedy for, 补救；对…治疗法；药物
remind sb. of sth.,"v. 提醒
"
renege on, 食言；违背；违约
reply to,"v. 答复；回答
"
require of,"v. 需要
"
reside in, 居住；存在于；居住于
resistance to, 阻力；对……的抵抗；对…的阻力
resistant to,"adj. 抵抗
"
resolve into, 使分解为；归结为；还原成
resolve on, 决心
resort to,"na. 使用(武力)
"
respond to,"v. 响应
"
response to, 反应；回应；对……的回答
rest on,"na. 被支持在…上；(目光等)停留在…上
"
rest upon,"na. 被支持在…上；(目光等)停留在…上
"
restrain sb. from doing,无
restrict ... to, 限制；把…限制在；限制欄位
result from,"v. 由于
"
result in,"na. 终于(失败)
"
return to,"v. 回到；返回；还给；降到
"
revolt against,"un. 起来造反；打抱不平；反叛；背叛:
"
revolve around,"v. 旋绕
"
rid sb. of sth., 摆脱；消除；使去掉
rifle through, 搜寻；迅速搜查
ripe for, 为什么做好准备；时机成熟；准备好
rise above,"na. 凌驾…之上；超越…；摆脱
"
rob ... of,"v. 抢走
"
root ... in, 扎根于；来源于；起因于
rope in, <非正>说服（某人）（参与某项活动）; 拉拢; 笼络
round the clock,"na. 昼夜不停；整天整夜；昼夜不停地
"
rub out,"na. 擦掉；〈美俚〉杀死
"
rule out,"na. 排除
"
run a fever,"na. 发烧；“run a temperature/fever”的变体
"
run across,"na. “Come across”的变体
"
run away with,"na. 拐走；带着…逃跑；贸然接受(别人意见等)；消耗(金钱时间等)
"
run counter to,"na. 违反
"
